ID,Scheme Name,Objective,Description,Eligibility,Benefits,Required Documents,Income Limit,Age Criteria,State/Central,Category,Keywords,Official Link
GS011,PM Awas Yojana – Urban (PMAY-U),Provide affordable housing for eligible urban families,"PMAY-U helps eligible urban families own affordable and permanent houses through financial assistance and interest subsidies on home loans. It focuses on providing housing for economically weaker sections, low-income groups, and middle-income groups.","Economically Weaker Section (EWS), Low Income Group (LIG), Middle Income Group (MIG), or other eligible urban households that do not own a pucca house, subject to scheme guidelines.","Financial assistance and interest subsidy for purchasing, constructing, or improving a house under eligible components.","Aadhaar Card, Income Certificate, Address Proof, Bank Account Details, Property Documents (if applicable)",Based on EWS/LIG/MIG income category,18 years and above,Central (Implemented by States),Housing,"housing, home loan, affordable housing, urban housing, subsidy, house",https://pmay-urban.gov.in/
GS012,PM Awas Yojana – Gramin (PMAY-G),Provide permanent housing to eligible rural households.,"PMAY-G provides financial assistance to eligible rural households for constructing durable houses with basic amenities. It aims to improve living conditions and ensure ""Housing for All"" in rural areas.",Rural households identified through the government's approved beneficiary list (SECC data and updated criteria) who do not own a permanent house.,Financial assistance for construction of a pucca house with basic amenities in rural areas.,"Aadhaar Card, Bank Account Details, Job Card (if applicable), Residence Proof",Identified eligible rural households (not a fixed income limit),18 years and above,Central (Implemented by States),Housing,"rural housing, house construction, pucca house, village, housing assistance",https://www.myscheme.gov.in/schemes/pmayguk
GS013,Atal Pension Yojana (APY),Ensure financial security after retirement for workers in the unorganized sector.,APY is a voluntary pension scheme for workers in the unorganized sector. Subscribers contribute regularly during their working years and receive a guaranteed monthly pension after reaching the age of 60.,Indian citizens aged 18–40 years with a savings bank account who contribute regularly until the age of 60.,"Guaranteed monthly pension (₹1,000–₹5,000) after the age of 60, based on contributions made during the subscription period.","Aadhaar Card, Savings Bank Account, Mobile Number",No income limit,18–40 years,Central,Pension,"pension, retirement, old age, savings, monthly pension, APY",https://www.myscheme.gov.in/schemes/apy
GS014,Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY),Provide affordable life insurance coverage to citizens.,PMJJBY is an affordable life insurance scheme that provides financial support to the nominee in case of the insured person's death. It offers annual renewable coverage at a low premium.,Indian residents aged 18–50 years with a savings bank account and consent for annual premium auto-debit.,₹2 lakh life insurance cover to the nominee in case of the insured person's death.,"Aadhaar Card, Savings Bank Account, Auto-debit Consent Form",No income limit,18–50 years (entry age),Central,Insurance,"life insurance, insurance, death benefit, nominee, PMJJBY",https://jansuraksha.gov.in/
GS015,Pradhan Mantri Suraksha Bima Yojana (PMSBY),Provide affordable accident insurance coverage.,PMSBY is an accident insurance scheme that provides financial assistance in case of accidental death or disability. It offers annual coverage at a highly affordable premium.,Indian residents aged 18–70 years with a savings bank account and consent for annual premium auto-debit.,₹2 lakh on accidental death or total permanent disability; ₹1 lakh for partial permanent disability.,"Aadhaar Card, Savings Bank Account, Auto-debit Consent Form",No income limit,18–70 years,Central,Insurance,"accident insurance, disability, accidental death, PMSBY, insurance",https://jansuraksha.gov.in/
GS016,National Social Assistance Programme (NSAP),"Provide financial assistance to elderly, widows, and persons with disabilities.","NSAP provides financial assistance to elderly persons, widows, and persons with disabilities belonging to economically weaker families. It aims to strengthen social security and improve their quality of life.","Individuals from Below Poverty Line (BPL) households who meet the age, disability, or widowhood criteria under the specific NSAP component.","Monthly financial assistance to eligible elderly persons, widows, and persons with disabilities.","Aadhaar Card, Income/BPL Certificate, Bank Account Details, Age Proof (or Disability/Widow Certificate, if applicable)",BPL/EWS households as per government criteria,"Varies (60+, widows, or persons with disabilities depending on component)",Central (Implemented by States),Social Welfare,"pension, widow pension, disability pension, senior citizen, financial assistance",https://www.myscheme.gov.in/schemes/nsap-ignoaps
GS017,PM Vishwakarma,Support traditional artisans and craftspeople through financial and skill assistance.,"PM Vishwakarma supports traditional artisans and craftspeople by providing skill training, financial assistance, modern tools, and market access. It aims to improve productivity and preserve traditional occupations.",Traditional artisans and craftspeople engaged in one of the notified trades and meeting the scheme's age and occupational criteria.,"Skill training, toolkit incentive, concessional loans, digital incentives, and marketing support for traditional artisans.","Aadhaar Card, Mobile Number, Bank Account Details, Occupation Proof (if applicable)",No fixed income limit,18 years and above,Central,Artisans,"artisan, craftsman, toolkit, traditional worker, skill training, loan",https://pmvishwakarma.gov.in/
GS018,PM Mudra Yojana (PMMY),Promote entrepreneurship by providing collateral-free business loans.,"PMMY provides collateral-free loans to small businesses and entrepreneurs through banks and financial institutions. The scheme supports business expansion, self-employment, and income generation.","Individuals, startups, and micro or small business owners seeking loans for non-farm income-generating activities, subject to bank approval.",Collateral-free business loans up to ₹20 lakh (under current scheme categories) to support micro and small enterprises,"Aadhaar Card, PAN Card, Bank Account Details, Business Proof/Plan, Address Proof",No income limit,18 years and above,Central,Business/MSME,"business loan, MSME, startup loan, entrepreneur, Mudra, collateral-free loan",https://www.mudra.org.in/
GS019,Stand-Up India,Encourage entrepreneurship among women and SC/ST entrepreneurs.,"Stand-Up India promotes entrepreneurship among women and SC/ST entrepreneurs by providing bank loans for setting up new enterprises in manufacturing, services, and trading sectors.","SC/ST entrepreneurs or women entrepreneurs aged 18 years or above starting a new (greenfield) enterprise in manufacturing, services, trading, or agriculture-related activities.","Bank loans ranging from ₹10 lakh to ₹1 crore for setting up new enterprises, along with handholding and support services.","Aadhaar Card, PAN Card, Business Plan, Bank Account Details, Caste Certificate (if applicable)",No income limit,18 years and above,Central,Entrepreneurship,"SC entrepreneur, ST entrepreneur, women entrepreneur, startup, business loan",https://www.myscheme.gov.in/schemes/sui
GS020,Startup India,Promote innovation and support startup businesses in India.,"Startup India supports entrepreneurs by promoting innovation, simplifying regulations, and providing access to funding, mentorship, and incubation. It aims to build a strong startup ecosystem and encourage job creation.","DPIIT-recognized startups incorporated as a private limited company, partnership firm, or LLP, meeting the government's startup eligibility criteria.","Tax benefits, easier compliance, funding support, incubation, mentorship, and access to government initiatives for eligible startups.","PAN Card, Certificate of Incorporation, DPIIT Recognition, Business Documents",No income limit,18 years and above (founders),Central,Entrepreneurship,"startup, innovation, entrepreneur, funding, business, incubation",https://www.startupindia.gov.in/
GS021,Credit Guarantee Fund Trust for Micro and Small Enterprises (CGTMSE),Improve credit availability to micro and small enterprises without collateral.,CGTMSE helps micro and small enterprises obtain collateral-free loans by providing credit guarantees to lending institutions. It improves access to finance for businesses that lack sufficient assets for loan security.,New or existing Micro and Small Enterprises (MSEs) obtaining eligible collateral-free loans through member lending institutions.,"Credit guarantee for collateral-free loans, improving access to finance for Micro and Small Enterprises (MSEs).","Business Registration Documents, Loan Application, PAN Card, Aadhaar Card",No income limit,18 years and above (business owners),Central,MSME,"collateral-free loan, MSME, credit guarantee, business finance, enterprise",https://www.cgtmse.in/
GS022,PM Employment Generation Programme (PMEGP),Generate self-employment opportunities through financial assistance.,"PMEGP promotes self-employment by providing financial assistance to individuals for establishing micro-enterprises in manufacturing and service sectors. It supports entrepreneurship and employment generation, especially in rural and semi-urban areas.",Indian citizens aged 18 years or above seeking financial assistance to establish a new micro-enterprise. Educational qualification may apply for projects above the prescribed cost.,Financial assistance in the form of subsidy for setting up new micro-enterprises and generating self-employment opportunities.,"Aadhaar Card, Project Report, Educational Certificate (if applicable), Bank Account Details, Caste Certificate (if applicable)",No income limit,18 years and above,Central,Employment,"self-employment, business subsidy, entrepreneur, micro enterprise, startup",https://www.kviconline.gov.in/
GS023,One Nation One Ration Card (ONORC),Enable nationwide portability of ration benefits for eligible beneficiaries.,ONORC allows eligible ration card holders to access subsidized food grains from any Fair Price Shop across India. The scheme ensures food security for migrant workers and their families by making ration benefits portable.,Beneficiaries holding a valid ration card under the National Food Security Act (NFSA).,Access to subsidized food grains from any Fair Price Shop across India using the same ration card.,"NFSA Ration Card, Aadhaar Card",Eligible NFSA households,No age limit,Central,Food Security,"ration card, portability, food grains, PDS, migrant workers",https://nfsa.gov.in/
GS024,Antyodaya Anna Yojana (AAY),Provide highly subsidized food grains to the poorest households.,AAY provides highly subsidized food grains to the poorest households in the country. It aims to reduce hunger and ensure food security for the most vulnerable sections of society.,Poorest and most vulnerable households identified by the respective State/UT Governments under the AAY guidelines.,Highly subsidized food grains for the poorest households to improve food security.,"Aadhaar Card, Ration Card, Income/BPL Certificate",Poorest households identified by State Government,No age limit,Central,Food Security,"ration, food security, poor families, subsidized food, AAY",https://nfsa.gov.in/
GS025,National Food Security Act (NFSA) Benefits,Ensure food and nutritional security for eligible households.,"Under the NFSA, eligible households receive subsidized food grains through the Public Distribution System (PDS). The scheme aims to improve food and nutritional security across the country.",Households identified by State/UT Governments as eligible under the National Food Security Act.,Subsidized food grains through the Public Distribution System (PDS) to eligible households.,"Aadhaar Card, Ration Card, Income Certificate (if applicable)",Eligible households identified by State Government,No age limit,Central (Implemented by States),Food Security,"food security, ration card, subsidized food, PDS, food grains",https://nfsa.gov.in/
GS026,Sukanya Samriddhi Yojana (SSY),Promote long-term savings for the education and marriage of girl children.,Sukanya Samriddhi Yojana is a savings scheme for the girl child that helps parents build funds for her education and future needs. It offers attractive interest rates and tax benefits to encourage long-term savings.,Parents or legal guardians of a girl child below 10 years of age can open an account in her name.,"High-interest savings, tax benefits, and financial security for the education and future needs of the girl child.","Birth Certificate of Girl Child, Aadhaar Card, Parent/Guardian ID, Address Proof",No income limit,Girl child below 10 years (at account opening),Central,Women & Girl Child,"girl child, savings, education, marriage, investment, SSY",https://www.indiapost.gov.in/
GS027,Beti Bachao Beti Padhao (BBBP),"Improve the welfare, education, and survival of the girl child.","BBBP promotes the protection, education, and empowerment of girls by addressing gender discrimination and improving the child sex ratio. It also encourages equal opportunities for girls in education and society.","The scheme benefits girls, women, and communities across India through awareness and government interventions; there is no individual application-based eligibility for most components.","Awareness, education, and welfare initiatives promoting the protection and empowerment of the girl child.","Aadhaar Card (where required), Birth Certificate (scheme-specific)",No income limit,Girl children (no fixed age),Central,Women & Girl Child,"girl child, women empowerment, education, awareness, gender equality",https://wcd.gov.in/
GS028,Mission Shakti,"Empower women through safety, protection, and economic support initiatives.","Mission Shakti is an integrated women's empowerment programme that provides safety, protection, welfare, and support services for women. It also promotes women's economic and social empowerment through various initiatives.","Women and girls eligible under the specific component of the scheme, such as safety, protection, or empowerment services, as per government guidelines.","Support services for women including safety, protection, legal aid, counseling, skill development, and economic empowerment initiatives.","Aadhaar Card, Identity Proof, Income Certificate (if applicable)",Varies by component (some services have no income limit),Women and girls (varies by component),Central,Women,"women safety, women empowerment, legal aid, counselling, support",https://wcd.gov.in/
GS029,PM Ujjwala Yojana (PMUY),Provide clean LPG cooking fuel to eligible women from poor households.,"PMUY provides free LPG connections to eligible women from poor households, replacing traditional cooking fuels. The scheme aims to improve health, reduce indoor air pollution, and promote clean cooking practices.",Adult women from eligible low-income households who do not already have an LPG connection and meet the scheme's beneficiary criteria.,"Free LPG connection with financial assistance for eligible households, promoting clean and smoke-free cooking.","Aadhaar Card, Ration Card, Bank Account Details, Address Proof",Eligible low-income households as per government criteria,18 years and above (adult woman),Central,Women,"LPG, gas connection, cooking gas, women, clean fuel, PMUY",https://www.pmuy.gov.in/
GS030,National Creche Scheme,Provide quality daycare facilities for children of working mothers.,"The National Creche Scheme provides daycare facilities for children of working mothers. It offers a safe environment with nutrition, healthcare, and early childhood education, enabling women to participate in the workforce.","Children aged 6 months to 6 years of working mothers from eligible families, as per scheme guidelines.","Safe daycare, nutritious meals, healthcare, and early childhood education for children of working mothers.","Birth Certificate of Child, Aadhaar Card of Parent, Income Certificate (if applicable)",Preference to low-income families (state guidelines may apply),Children 6 months–6 years,Central,Women & Child,"daycare, childcare, working mothers, children, nutrition",https://wcd.gov.in/
GS031,PM Poshan (Mid-Day Meal Scheme),Improve nutrition and school attendance among children.,"PM Poshan provides nutritious cooked meals to students in government and government-aided schools. The scheme aims to improve children's nutritional status, increase school attendance, and reduce dropout rates.","Students enrolled in government, government-aided, and eligible local body schools from Classes I to VIII.","Free nutritious cooked meals to school children, improving nutrition, attendance, and learning outcomes.",School Enrollment Record (maintained by school),No income limit,Students of Classes I–VIII (approximately 6–14 years),Central (Implemented by States),Education,"mid-day meal, school meal, nutrition, students, education",https://www.myscheme.gov.in/schemes/pm-poshan-dnhanddd
GS032,National Means-cum-Merit Scholarship Scheme (NMMSS),Support meritorious students from economically weaker sections to continue education,NMMSS provides financial assistance to meritorious students from economically weaker sections to help them continue secondary education. The scheme aims to reduce school dropouts due to financial constraints.,Meritorious students of Class VIII from economically weaker sections who qualify the selection examination and meet the prescribed income limit,Annual scholarship to meritorious students from economically weaker sections to support secondary education.,"Aadhaar Card, Income Certificate, School Certificate, Bank Account Details",Annual family income up to ₹3.5 lakh,Class VIII students (approximately 13–15 years),Central,Scholarship,"scholarship, merit, students, financial aid, education",https://scholarships.gov.in/
GS033,National Scholarship Portal (NSP) Schemes,Provide a single platform for scholarship applications and disbursement.,"The National Scholarship Portal is a single online platform through which eligible students can apply for various government scholarships. It simplifies the application, verification, and scholarship disbursement process.","Students who satisfy the eligibility criteria of the specific scholarship, including academic performance, family income, and category requirements.",Financial assistance through various government scholarships for eligible students pursuing school or higher education.,"Aadhaar Card, Income Certificate, Previous Marksheet, Bank Account Details, Bonafide Certificate",Depends on the scholarship (commonly ₹2.5–₹8 lakh),Varies by scholarship,Central,Scholarship,"scholarship, education, student, financial assistance, NSP",https://scholarships.gov.in/
GS034,PM Yasasvi Scholarship Scheme,"Support education of meritorious students from OBC, EBC, and DNT communities.","PM Yasasvi provides scholarships to meritorious students belonging to OBC, EBC, and DNT communities. The scheme supports quality education and promotes equal educational opportunities.","Meritorious students belonging to OBC, EBC, or DNT categories who meet the prescribed income and educational criteria.","Scholarships to eligible OBC, EBC, and DNT students for continuing quality education.","Aadhaar Card, Income Certificate, Caste Certificate, Previous Marksheet",Annual family income up to ₹2.5 lak,Students of eligible classes (approximately 13–17 years),Central,Scholarship,"scholarship, OBC, EBC, DNT, students, education",https://www.myscheme.gov.in/schemes/pmyasasvipmsobcebcdnts
GS035,PM Kaushal Vikas Yojana (PMKVY),Enhance employability through industry-relevant skill training.,PMKVY offers free skill development training aligned with industry requirements. It enhances employability by providing certification and practical skills to youth across different sectors.,Indian youth meeting the age and educational requirements for the selected skill training course.,"Free skill training, industry-recognized certification, and improved employment opportunities.","Aadhaar Card, Educational Certificates, Bank Account Details",No income limit,Generally 15–45 years (course-dependent),Central,Skill Development,"skill training, certification, employment, vocational training",https://www.myscheme.gov.in/schemes/pmkvy-rpl
GS036,Skill India Mission,Develop a skilled workforce to improve employment opportunities.,"Skill India Mission aims to equip youth with market-relevant skills through vocational education, training, and certification. It focuses on improving employability and supporting economic growth.",Indian citizens seeking vocational skill training and meeting the eligibility requirements of the chosen training programme.,"Vocational training, certification, and skill development to enhance employability and entrepreneurship.","Aadhaar Card, Educational Qualification Certificate, Passport-size Photograph",No income limit,Generally 15 years and above,Central,Skill Development,"skills, training, employment, vocational education, youth",https://www.skillindia.gov.in
GS037,National Apprenticeship Promotion Scheme (NAPS),Promote apprenticeship training by supporting employers and apprentices.,NAPS encourages employers to provide apprenticeship training by offering financial support and incentives. The scheme helps young people gain practical work experience and industry-relevant skills.,Individuals meeting the minimum educational qualifications and age requirements for apprenticeship training under participating establishments.,"Practical on-the-job training, stipend support, and industry experience through apprenticeships.","Aadhaar Card, Educational Certificates, Bank Account Details, Passport-size Photograph",No income limit,14 years and above (18+ for hazardous trades),Central,Skill Development,"apprenticeship, internship, industry training, skill development",https://www.apprenticeshipindia.gov.in/
GS038,Digital India Internship Scheme,Provide students with practical experience in digital governance initiatives.,The Digital India Internship Scheme provides students with hands-on experience in digital governance and emerging technologies by allowing them to work on government projects under expert guidance.,"Students pursuing undergraduate, postgraduate, or research programmes from recognized institutions, meeting the eligibility criteria specified in the internship notification.","Practical work experience, mentorship, and exposure to digital governance projects for students.","Aadhaar Card, College ID, Resume, Academic Transcripts",No income limit,College/University students (typically 18+ years),Central,Digital,"internship, digital, government, students, technology",https://www.digitalindia.gov.in/
GS039,e-Shram,Create a national database and extend social security benefits to unorganized workers,e-Shram creates a national database of unorganized workers to facilitate access to social security and welfare schemes. It helps workers receive benefits based on their occupation and eligibility.,Unorganized workers aged 16–59 years who are not income tax payers or members of EPFO/ESIC/NPS (subject to current scheme rules).,"Registration in a national database of unorganized workers, enabling access to social security and welfare schemes.","Aadhaar Card, Mobile Number, Bank Account Details, Occupation Details",No income limit,16–59 years,Central,Labour,"unorganized workers, labour, social security, worker registration",https://eshram.gov.in/
GS040,Deen Dayal Upadhyaya Grameen Kaushalya Yojana (DDU-GKY),Provide skill training and employment opportunities to rural youth.,DDU-GKY provides skill development and placement-linked training to rural youth from poor households. The scheme aims to improve employability and create sustainable livelihood opportunities.,Rural youth aged 15–35 years from poor households identified under the scheme. Age relaxation applies for certain categories.,"Free skill training, placement assistance, certification, and improved employment opportunities for rural youth.","Aadhaar Card, Income Certificate, Educational Certificates, Bank Account Details",Poor rural households identified under government criteria,15–35 years (relaxation for special categories),Central (Implemented by States),Rural Employment,"rural youth, skill training, employment, placement, livelihood",https://www.myscheme.gov.in/schemes/himayat
GS041,Deendayal Antyodaya Yojana – National Rural Livelihoods Mission (DAY-NRLM),Strengthen rural livelihoods through self-help groups and financial inclusion.,"DAY-NRLM strengthens rural livelihoods by organizing women into Self-Help Groups (SHGs), improving financial inclusion, and promoting income-generating activities. It focuses on reducing rural poverty through community participation","Rural poor households, especially women, willing to form or join Self-Help Groups (SHGs) and participate in livelihood activities.","Formation of Self-Help Groups (SHGs), access to bank credit, skill development, and livelihood opportunities for rural households.","Aadhaar Card, Bank Account Details, SHG Membership Details (if applicable)",Rural poor households,18 years and above,Central (Implemented by States),Rural Development,"SHG, women, rural livelihood, self-help group, bank loan",https://www.myscheme.gov.in/schemes/day-nrlm
GS042,Jal Jeevan Mission (JJM),Ensure safe and adequate tap water supply to every rural household.,"Jal Jeevan Mission aims to provide safe and adequate tap water to every rural household. The scheme focuses on improving drinking water infrastructure, water quality, and sustainable water management.",Rural households are covered through village-level implementation. Individual applications are generally not required.,"Safe and adequate tap water supply to rural households, improved sanitation, and better public health.",No individual documents required (implemented at village/community level),No income limit,No age limit,Central (Implemented by States),Water,"tap water, drinking water, rural water supply, sanitation",https://jaljeevanmission.gov.in/
GS043,Swachh Bharat Mission (SBM),Improve sanitation and eliminate open defecation across India,"Swachh Bharat Mission promotes sanitation, hygiene, and proper waste management by encouraging toilet construction and eliminating open defecation. It aims to create cleaner and healthier communities","Rural and urban households, local bodies, institutions, and communities eligible under the mission's sanitation initiatives.","Construction of toilets, improved sanitation facilities, cleaner surroundings, and better public health through waste management initiatives.","Aadhaar Card (if applying for individual household benefits), Address Proof",No income limit,No age limit,Central (Implemented by States),Sanitation,"sanitation, toilet, cleanliness, hygiene, waste management",https://swachhbharatmission.gov.in/
GS044,AMRUT (Atal Mission for Rejuvenation and Urban Transformation),Improve urban infrastructure and basic services in cities.,"AMRUT improves urban infrastructure by enhancing water supply, sewerage systems, green spaces, and public amenities. The mission focuses on improving the quality of life in cities.",Urban Local Bodies (ULBs) and cities selected under the mission. Citizens benefit through infrastructure projects rather than individual applications.,"Improved water supply, sewerage systems, urban green spaces, and better quality of urban infrastructure and services.",No individual application documents required (implemented through Urban Local Bodies),No income limit,No age limit,Central,Urban Development,"urban development, water supply, sewerage, infrastructure, parks",https://mohua.gov.in/
GS045,Digital India Programme,Transform India into a digitally empowered society and knowledge economy.,"Digital India aims to transform India into a digitally empowered society by expanding digital infrastructure, promoting online government services, and increasing digital literacy.","Citizens, businesses, educational institutions, and government organizations can access services under various Digital India initiatives, depending on the specific programme.","Easy access to digital government services, improved internet connectivity, digital literacy, and online public service delivery.","Aadhaar Card or Government-issued ID (for specific digital services, where applicable)",No income limit,No age limit,Central,Digital Governance,"digital services, internet, e-governance, digital literacy",https://www.digitalindia.gov.in/
GS046,PM Gati Shakti,Improve infrastructure planning and multimodal connectivity across India.,"PM Gati Shakti integrates infrastructure planning across different sectors to improve logistics, connectivity, and economic development. It supports faster and more coordinated infrastructure projects.","Central and State Government ministries, departments, and infrastructure agencies implementing approved infrastructure projects.","Faster infrastructure development, improved logistics, better transport connectivity, and enhanced economic growth.",No individual application documents required (implemented by government agencies),Not applicable (government programme),Not applicable (government initiative),Central,Infrastructure,"infrastructure, logistics, transport, connectivity, development",https://pmgatishakti.gov.in/pmgatishakti/login
GS047,National Digital Health Mission (Ayushman Bharat Digital Mission),Build a digital health ecosystem for efficient healthcare delivery.,"ABDM creates a digital healthcare ecosystem by providing digital health IDs, electronic health records, and seamless access to healthcare services. It promotes efficient and secure healthcare delivery.","All Indian citizens, healthcare professionals, and healthcare facilities can voluntarily register and participate in the digital health ecosystem.","Digital Health ID, secure electronic health records, seamless access to healthcare services, and improved coordination among healthcare providers.","Aadhaar Card or Mobile Number (for creating an ABHA ID), Basic Identity Details",No income limit,No age limit,Central,Healthcare,"ABHA ID, digital health, health records, healthcare",https://abdm.gov.in/
